cor,Region,Method
0.701,Brazil_all,HGLM_corr
0.813,Brazil_all,HGLM_corr
0.701,Brazil_all,HGLM_corr
0.701,Brazil_all,HGLM_corr
0.701,Brazil_all,HGLM_corr
0.701,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
0.813,Brazil_all,HGLM_corr
0.798,Brazil_all,HGLM_corr
0.798,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
0.798,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
0.174,Brazil_all,HGLM_corr
0.431,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
0.182,Brazil_all,HGLM_corr
0.432,Brazil_all,HGLM_corr
0.213,Brazil_all,HGLM_corr
0.264,Brazil_all,HGLM_corr
0.621,Brazil_all,HGLM_corr
0.5,Brazil_all,HGLM_corr
0.44,Brazil_all,HGLM_corr
0.265,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
NA,Brazil_all,HGLM_corr
0.246,Brazil_all,HGLM_corr
0.162,Brazil_all,HGLM_corr
0.345,Brazil_all,HGLM_corr
-0.032,Brazil_all,HGLM_corr
0.753,Brazil_all,HGLM_corr
0.522,Brazil_all,HGLM_corr
0.669,Brazil_all,HGLM_corr
0.493,Brazil_all,HGLM_corr
0.701,Brazil_main,HGLM_corr
0.813,Brazil_main,HGLM_corr
0.701,Brazil_main,HGLM_corr
0.701,Brazil_main,HGLM_corr
0.701,Brazil_main,HGLM_corr
0.701,Brazil_main,HGLM_corr
0.522,Brazil_main,HGLM_corr
0.522,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
0.522,Brazil_main,HGLM_corr
0.813,Brazil_main,HGLM_corr
0.798,Brazil_main,HGLM_corr
0.798,Brazil_main,HGLM_corr
0.522,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
0.522,Brazil_main,HGLM_corr
0.798,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
NA,Brazil_main,HGLM_corr
